date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,changeOverTime,trend
945,156.3717,160.6028,155.7926,160.0629,44454160,44454160,5.5367,3.583,158.7373,1.442716393,UP
946,160.8875,164.9909,160.7206,163.6656,44700772,44700772,3.6028,2.251,163.3768,1.497697118,UP
947,164.824,166.5419,163.8816,165.9431,36046828,36046828,2.2775,1.392,165.4916,1.532453996,UP
948,166.7579,166.8266,162.576,163.8325,33637762,33637762,-2.1106,-1.272,164.0949,1.500244176,DOWN
949,164.5688,165.413,162.252,165.0302,41393373,41393373,1.1976,0.731,164.2605,1.518522249,UP
950,170.8123,171.0675,167.985,169.3397,59398631,59398631,4.3096,2.611,169.427,1.584289434,UP
951,169.2072,171.7841,168.574,171.0577,35026306,35026306,1.7179,1.014,170.7878,1.610507794,UP
952,170.7239,172.0394,170.4196,171.6074,24361485,24361485,0.549742,0.321,171.4083,1.618896753,UP
953,171.4602,173.0112,171.1362,173.0112,24409527,24409527,1.4038,0.818,172.2224,1.640320114,UP
954,171.9019,172.8689,169.968,172.6578,29185668,29185668,-0.353404,-0.204,171.8351,1.634926885,DOWN
955,172.5199,172.7859,171.6923,172.0864,25145500,25145500,-0.571419,-0.331,172.2561,1.626206762,DOWN
956,170.9337,171.9189,170.8352,171.3967,16982080,16982080,-0.689646,-0.401,171.4339,1.615681265,DOWN
957,170.4805,170.914,168.648,168.8056,24782487,24782487,-2.5911,-1.512,169.7075,1.576138545,DOWN
958,167.4559,167.8004,165.8894,166.5791,29158070,29158070,-2.2266,-1.319,166.8203,1.542159978,DOWN
959,168.648,169.3278,167.781,168.5692,23637484,23637484,1.9901,1.195,168.6355,1.57253085,UP
960,168.5101,168.8549,167.1308,167.6333,21899544,21899544,-0.935948,-0.555,167.8511,1.558248101,DOWN
961,167.7712,168.0372,167.052,167.4658,16262447,16262447,-0.167487,-0.1,167.4742,1.555691887,DOWN
962,168.2539,171.1307,168.2539,170.579,25131295,25131295,3.1133,1.859,170.3505,1.603202364,UP
963,170.7958,172.4115,170.4904,172.3721,25588925,25588925,1.7931,1.051,171.6734,1.630566823,UP
964,172.51,172.9041,172.0626,172.382,14026673,14026673,0.009853,0.006,172.5032,1.630717907,UP
965,172.4608,172.4903,170.7761,171.515,20716802,20716802,-0.866983,-0.503,171.6682,1.617486639,DOWN
